Date,LSTM,Transformer,Ensemble
2026-06-01,4406.948563999248,4364.536943810744,4385.742753904996
2026-06-02,4402.165782280702,4398.930890615607,4400.548336448154
2026-06-03,4397.804976586222,4421.774194593657,4409.78958558994
2026-06-04,4393.949175501052,4437.883416173586,4415.916295837319
2026-06-05,4390.624551079235,4446.799061756318,4418.711806417777
2026-06-08,4387.809056910714,4453.312680053873,4420.560868482294
2026-06-09,4385.457697690755,4457.426076035495,4421.441886863125
2026-06-10,4383.513616888157,4461.334994787,4422.424305837579
2026-06-11,4381.919700118974,4464.941323337319,4423.4305117281465
2026-06-12,4380.621153674,4470.800382431028,4425.710768052514
2026-06-15,4379.568598751764,4477.500943971753,4428.534771361758
2026-06-16,4378.718973943148,4482.979283481268,4430.849128712208
2026-06-17,4378.035535231392,4487.808349768296,4432.921942499844
2026-06-18,4377.487211360217,4496.981461321105,4437.234336340661
2026-06-19,4377.048088128328,4508.246274375429,4442.6471812518785
2026-06-22,4376.697150536666,4523.673862212846,4450.185506374756
2026-06-23,4376.41699352466,4539.042401770696,4457.729697647678
2026-06-24,4376.193564117478,4553.119099055052,4464.656331586265
2026-06-25,4376.015645720529,4567.754305394176,4471.884975557353
2026-06-26,4375.874213487593,4583.933276142764,4479.9037448151785
2026-06-29,4375.761402909818,4595.656293532417,4485.7088482211175
2026-06-30,4375.671928005845,4605.06856351011,4490.3702457579775
2026-07-01,4375.600760647066,4612.155904174636,4493.878332410851
2026-07-02,4375.544161968616,4617.554953963771,4496.549557966194
2026-07-03,4375.499166663881,4620.505047267375,4498.002106965628
2026-07-06,4375.463454058116,4620.905492586883,4498.1844733225
2026-07-07,4375.43496132933,4619.678371353438,4497.556666341384
2026-07-08,4375.412528140149,4618.2790044835265,4496.845766311838
2026-07-09,4375.3947363004545,4615.665151164881,4495.529943732668
2026-07-10,4375.3805543992485,4612.004157831731,4493.69235611549
